id,serie,data,valor,carregado_em
529,ipca_mensal,2023-07-01,0.12,2026-06-08T22:24:09.917579
530,ipca_mensal,2023-08-01,0.23,2026-06-08T22:24:09.917579
531,ipca_mensal,2023-09-01,0.26,2026-06-08T22:24:09.917579
532,ipca_mensal,2023-10-01,0.24,2026-06-08T22:24:09.917579
533,ipca_mensal,2023-11-01,0.28,2026-06-08T22:24:09.917579
534,ipca_mensal,2023-12-01,0.56,2026-06-08T22:24:09.917579
535,selic_diaria,2023-01-02,0.050788,2026-06-08T22:24:09.937868
536,selic_diaria,2023-01-03,0.050788,2026-06-08T22:24:09.937868
537,selic_diaria,2023-01-04,0.050788,2026-06-08T22:24:09.937868
538,selic_diaria,2023-01-05,0.050788,2026-06-08T22:24:09.937868
539,selic_diaria,2023-01-06,0.050788,2026-06-08T22:24:09.937868
540,selic_diaria,2023-01-09,0.050788,2026-06-08T22:24:09.937868
541,selic_diaria,2023-01-10,0.050788,2026-06-08T22:24:09.937868
542,selic_diaria,2023-01-11,0.050788,2026-06-08T22:24:09.937868
543,selic_diaria,2023-01-12,0.050788,2026-06-08T22:24:09.937868
544,selic_diaria,2023-01-13,0.050788,2026-06-08T22:24:09.937868
545,selic_diaria,2023-01-16,0.050788,2026-06-08T22:24:09.937868
546,selic_diaria,2023-01-17,0.050788,2026-06-08T22:24:09.937868
547,selic_diaria,2023-01-18,0.050788,2026-06-08T22:24:09.937868
548,selic_diaria,2023-01-19,0.050788,2026-06-08T22:24:09.937868
549,selic_diaria,2023-01-20,0.050788,2026-06-08T22:24:09.937868
550,selic_diaria,2023-01-23,0.050788,2026-06-08T22:24:09.937868
551,selic_diaria,2023-01-24,0.050788,2026-06-08T22:24:09.937868
552,selic_diaria,2023-01-25,0.050788,2026-06-08T22:24:09.937868
553,selic_diaria,2023-01-26,0.050788,2026-06-08T22:24:09.937868
554,selic_diaria,2023-01-27,0.050788,2026-06-08T22:24:09.937868
555,selic_diaria,2023-01-30,0.050788,2026-06-08T22:24:09.937868
556,selic_diaria,2023-01-31,0.050788,2026-06-08T22:24:09.937868
557,selic_diaria,2023-02-01,0.050788,2026-06-08T22:24:09.937868
558,selic_diaria,2023-02-02,0.050788,2026-06-08T22:24:09.937868
559,selic_diaria,2023-02-03,0.050788,2026-06-08T22:24:09.937868
560,selic_diaria,2023-02-06,0.050788,2026-06-08T22:24:09.937868
561,selic_diaria,2023-02-07,0.050788,2026-06-08T22:24:09.937868
562,selic_diaria,2023-02-08,0.050788,2026-06-08T22:24:09.937868
563,selic_diaria,2023-02-09,0.050788,2026-06-08T22:24:09.937868
564,selic_diaria,2023-02-10,0.050788,2026-06-08T22:24:09.937868
565,selic_diaria,2023-02-13,0.050788,2026-06-08T22:24:09.937868
566,selic_diaria,2023-02-14,0.050788,2026-06-08T22:24:09.937868
567,selic_diaria,2023-02-15,0.050788,2026-06-08T22:24:09.937868
568,selic_diaria,2023-02-16,0.050788,2026-06-08T22:24:09.937868
569,selic_diaria,2023-02-17,0.050788,2026-06-08T22:24:09.937868
570,selic_diaria,2023-02-22,0.050788,2026-06-08T22:24:09.937868
571,selic_diaria,2023-02-23,0.050788,2026-06-08T22:24:09.937868
572,selic_diaria,2023-02-24,0.050788,2026-06-08T22:24:09.937868
573,selic_diaria,2023-02-27,0.050788,2026-06-08T22:24:09.937868
574,selic_diaria,2023-02-28,0.050788,2026-06-08T22:24:09.937868
575,selic_diaria,2023-03-01,0.050788,2026-06-08T22:24:09.937868
576,selic_diaria,2023-03-02,0.050788,2026-06-08T22:24:09.937868
577,selic_diaria,2023-03-03,0.050788,2026-06-08T22:24:09.937868
578,selic_diaria,2023-03-06,0.050788,2026-06-08T22:24:09.937868
579,selic_diaria,2023-03-07,0.050788,2026-06-08T22:24:09.937868
580,selic_diaria,2023-03-08,0.050788,2026-06-08T22:24:09.937868
581,selic_diaria,2023-03-09,0.050788,2026-06-08T22:24:09.937868
582,selic_diaria,2023-03-10,0.050788,2026-06-08T22:24:09.937868
583,selic_diaria,2023-03-13,0.050788,2026-06-08T22:24:09.937868
584,selic_diaria,2023-03-14,0.050788,2026-06-08T22:24:09.937868
585,selic_diaria,2023-03-15,0.050788,2026-06-08T22:24:09.937868
586,selic_diaria,2023-03-16,0.050788,2026-06-08T22:24:09.937868
